num,index,date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
41,41,20160307,24400,24620,24300,24460,6568800,9.35,1.25,14.08,1.009648763,1.032125652,1.011238776,0.999562985,0.999285158,0.999305504,1.004329647,1.005046391,24132,10769090,0.013591911,-0.390032027,23824,9254725,0.026695769,-0.290222022,23522,10079852.5,0.039877561,-0.348323797,,,,,,,,,0.004115226,0.006541292,-0.006541292,0.006584362,-0.347977567
42,42,20160308,24460,24480,23720,23840,10810100,9.35,1.25,14.08,1.005958286,1.035891834,1.014704233,1.00225215,0.997681495,0.996916311,1.001755831,1.002503377,24188,10044310,-0.014387299,0.076241175,23858,9461240,-0.000754464,0.142566936,23568,10184090,0.011541073,0.06146941,,,,,,,,,0,0.026845638,-0.005033557,-0.025347506,0.645673487
43,43,20160309,23760,23980,23540,23880,9169000,9.35,1.25,14.08,1.00866127,1.044383711,1.022804593,1.009922065,0.999130009,0.997793993,1.002480818,1.003269917,24176,9514390,-0.012243547,-0.036301854,23884,9639770,-0.000167476,-0.048836227,23606,10022642.5,0.011607219,-0.085171401,,,,,,,,,-0.003355705,0.004187605,-0.014237856,0.001677852,-0.151811732
44,44,20160310,24160,24720,24020,24500,14177000,9.35,1.25,14.08,1.014874744,1.056105163,1.034286139,1.021506038,0.99862159,0.99673247,1.001156894,1.002055767,24196,10159880,0.01256406,0.395390497,23990,10355050,0.021258858,0.369090444,23667,10261257.5,0.035196687,0.381604545,,,,,,,,,0.011725293,0.008979592,-0.019591837,0.025963149,0.546188243
45,45,20160311,24500,25060,24320,24980,13361250,9.35,1.25,14.08,1.012609659,1.055155369,1.035996094,1.023593886,0.998647962,0.996387636,1.000438609,1.001428597,24332,10817230,0.026631596,0.235182205,24130,11023000,0.03522586,0.212124648,23786,10166165,0.050197595,0.314286164,,,,,,,,,0,0.003202562,-0.026421137,0.019591837,-0.057540382
46,46,20160314,25340,25460,24980,25100,10857700,9.35,1.25,14.08,1.00978145,1.051385587,1.037964818,1.026028435,0.99879215,0.995902474,0.999639458,1.000717691,24460,11675010,0.026165168,-0.070005079,24296,11222050,0.033091867,-0.03246733,23911,10068470,0.049726068,0.078386289,,,,,,,,,0.014411529,0.014342629,-0.004780876,0.004803843,-0.187373936
47,47,20160315,25100,25280,24920,25060,8640400,9.35,1.25,14.08,1.007527362,1.049125892,1.040366366,1.02908998,1.000027247,0.997169833,1.000645255,1.001818994,24704,11241070,0.014410622,-0.231354311,24446,10642690,0.025116583,-0.188137586,24010,10042625,0.043731778,-0.139627338,,,,,,,,,0,0.008778931,-0.005586592,-0.001593625,-0.204214521
48,48,20160316,25120,25260,25060,25120,7342800,9.35,1.25,14.08,1.003647321,1.044654365,1.038877769,1.029022506,0.999818281,0.996806848,0.999947749,1.001190756,24952,10875830,0.006732927,-0.324851529,24564,10195110,0.02263475,-0.279772361,24098,9958762.5,0.042410159,-0.262679474,,,,,,,,,0.002394254,0.005573248,-0.002388535,0.002394254,-0.150178232
49,49,20160317,25300,25920,25140,25260,12343450,9.35,1.25,14.08,0.999699279,1.036408188,1.0346205,1.025869505,1.000944845,0.998239999,1.001036547,1.002371164,25104,10509120,0.006214149,0.174546489,24650,10334500,0.02474645,0.194392569,24176,9960780,0.044837856,0.239205163,,,,,,,,,0.007165605,0.026128266,-0.004750594,0.005573248,0.681027673
50,50,20160318,25560,25560,25260,25460,11265700,9.35,1.25,14.08,1.003105951,1.037299958,1.038665416,1.031044833,1.001126187,0.998876343,1.001382355,1.00284076,25200,10090010,0.01031746,0.116520202,24766,10453620,0.028022289,0.077684094,24262,9967862.5,0.049377628,0.130202187,,,,,,,,,0.011876485,0.00392773,-0.00785546,0.007917656,-0.087313514
